"","solID","dep_var_type","channels","date_min","date_max","periods","constr_low","constr_low_abs","constr_up","constr_up_abs","unconstr_mult","constr_low_unb","constr_low_unb_abs","constr_up_unb","constr_up_unb_abs","histSpendAll","histSpendAllTotal","histSpendAllUnit","histSpendAllUnitTotal","histSpendAllShare","histSpendWindow","histSpendWindowTotal","histSpendWindowUnit","histSpendWindowUnitTotal","histSpendWindowShare","initSpendUnit","initSpendUnitTotal","initSpendShare","initSpendTotal","initResponseUnit","initResponseUnitTotal","initResponseMargUnit","initResponseTotal","initResponseUnitShare","initRoiUnit","initCpaUnit","total_budget_unit","total_budget_unit_delta","optmSpendUnit","optmSpendUnitDelta","optmSpendUnitTotal","optmSpendUnitTotalDelta","optmSpendShareUnit","optmSpendTotal","optmSpendUnitUnbound","optmSpendUnitDeltaUnbound","optmSpendUnitTotalUnbound","optmSpendUnitTotalDeltaUnbound","optmSpendShareUnitUnbound","optmSpendTotalUnbound","optmResponseUnit","optmResponseMargUnit","optmResponseUnitTotal","optmResponseTotal","optmResponseUnitShare","optmRoiUnit","optmCpaUnit","optmResponseUnitLift","optmResponseUnitUnbound","optmResponseMargUnitUnbound","optmResponseUnitTotalUnbound","optmResponseTotalUnbound","optmResponseUnitShareUnbound","optmRoiUnitUnbound","optmCpaUnitUnbound","optmResponseUnitLiftUnbound","optmResponseUnitTotalLift","optmResponseUnitTotalLiftUnbound"
"Affiliates","1_190_4","revenue","Affiliates",2023-08-01,2024-07-01,"12 months",0.7,3.57990408399167,1.3,6.64839329884167,3,0.7,3.57990408399167,1.3,6.64839329884167,61.917038156,629.665967712,4.76284908892308,48.4358436701539,0.098333150163707,61.369784297,620.377166524,5.11414869141667,51.6980972103333,0.0989233447144058,5.11414869141667,51.6980972103333,0.0989233447144058,620.377166524,22513330.9119292,265757166.108141,6635699.29622714,3189085993.29769,0.0847139185054681,4402165.88729898,2.271609079715e-07,51.6980972103333,0,3.57990408399167,-0.3,34.757600087425,-0.327681250123888,0.102996296493061,417.0912010491,3.57990408399167,-0.3,34.757600087425,-0.327681250123888,0.102996296493061,417.0912010491,13034318.1767316,6022139.68559864,193844006.198122,2326128074.37747,0.0672412752520687,3640968.54857578,2.74652193958436e-07,-0.421039995026896,13034318.1767316,6022139.68559864,193844006.198122,2326128074.37747,0.0672412752520687,3640968.54857578,2.74652193958436e-07,-0.421039995026896,-0.270597255995558,-0.270597255995558
"Online_Marketing","1_190_4","revenue","Online_Marketing",2023-08-01,2024-07-01,"12 months",0.8,12.9093075683333,1.2,19.3639613525,3,0.8,12.9093075683333,1.2,19.3639613525,194.96689112,629.665967712,14.9974531630769,48.4358436701539,0.30963542754017,193.639613525,620.377166524,16.1366344604167,51.6980972103333,0.312132077023355,16.1366344604167,51.6980972103333,0.312132077023355,620.377166524,80256326.0056891,265757166.108141,6515071.65021205,3189085993.29769,0.301991201896815,4973547.99741908,2.01063707542167e-07,51.6980972103333,0,12.9093075683333,-0.2,34.757600087425,-0.327681250123888,0.371409635183754,417.0912010491,12.9093075683333,-0.2,34.757600087425,-0.327681250123888,0.371409635183754,417.0912010491,58042892.3050207,6994521.67439386,193844006.198122,2326128074.37747,0.299430936470106,4496204.92793901,2.22409791374519e-07,-0.276781093855377,58042892.3050207,6994521.67439386,193844006.198122,2326128074.37747,0.299430936470106,4496204.92793901,2.22409791374519e-07,-0.276781093855377,-0.270597255995558,-0.270597255995558
"Sponsorship","1_190_4","revenue","Sponsorship",2023-08-01,2024-07-01,"12 months",0.6,18.2683884351,1.4,42.6262396819,3,0.6,18.2683884351,1.4,42.6262396819,372.782038436,629.665967712,28.6755414181538,48.4358436701539,0.592031422296123,365.367768702,620.377166524,30.4473140585,51.6980972103333,0.588944578262239,30.4473140585,51.6980972103333,0.588944578262239,620.377166524,162987509.190523,265757166.108141,3034920.12642807,3189085993.29769,0.613294879597716,5353099.74723439,1.86807652989585e-07,51.6980972103333,0,18.2683884351,-0.4,34.757600087425,-0.327681250123888,0.525594068323185,417.0912010491,18.2683884351,-0.4,34.757600087425,-0.327681250123888,0.525594068323185,417.0912010491,122766795.71637,3540752.24658367,193844006.198122,2326128074.37747,0.633327788277826,6720176.55812987,1.48805614160573e-07,-0.246771753700077,122766795.71637,3540752.24658367,193844006.198122,2326128074.37747,0.633327788277826,6720176.55812987,1.48805614160573e-07,-0.246771753700077,-0.270597255995558,-0.270597255995558
