"","solID","dep_var_type","channels","date_min","date_max","periods","constr_low","constr_low_abs","constr_up","constr_up_abs","unconstr_mult","constr_low_unb","constr_low_unb_abs","constr_up_unb","constr_up_unb_abs","histSpendAll","histSpendAllTotal","histSpendAllUnit","histSpendAllUnitTotal","histSpendAllShare","histSpendWindow","histSpendWindowTotal","histSpendWindowUnit","histSpendWindowUnitTotal","histSpendWindowShare","initSpendUnit","initSpendUnitTotal","initSpendShare","initSpendTotal","initResponseUnit","initResponseUnitTotal","initResponseMargUnit","initResponseTotal","initResponseUnitShare","initRoiUnit","initCpaUnit","total_budget_unit","total_budget_unit_delta","optmSpendUnit","optmSpendUnitDelta","optmSpendUnitTotal","optmSpendUnitTotalDelta","optmSpendShareUnit","optmSpendTotal","optmSpendUnitUnbound","optmSpendUnitDeltaUnbound","optmSpendUnitTotalUnbound","optmSpendUnitTotalDeltaUnbound","optmSpendShareUnitUnbound","optmSpendTotalUnbound","optmResponseUnit","optmResponseMargUnit","optmResponseUnitTotal","optmResponseTotal","optmResponseUnitShare","optmRoiUnit","optmCpaUnit","optmResponseUnitLift","optmResponseUnitUnbound","optmResponseMargUnitUnbound","optmResponseUnitTotalUnbound","optmResponseTotalUnbound","optmResponseUnitShareUnbound","optmRoiUnitUnbound","optmCpaUnitUnbound","optmResponseUnitLiftUnbound","optmResponseUnitTotalLift","optmResponseUnitTotalLiftUnbound"
"Affiliates","1_190_4","revenue","Affiliates",2023-08-01,2024-07-01,"12 months",0.4,2.04565947656667,1.4,7.15980816798333,3,0,0,2.2,11.2511271211167,61.917038156,629.665967712,4.76284908892308,48.4358436701539,0.098333150163707,61.369784297,620.377166524,5.11414869141667,51.6980972103333,0.0989233447144058,5.11414869141667,51.6980972103333,0.0989233447144058,620.377166524,22513330.9119292,265757166.108141,6635699.29622714,3189085993.29769,0.0847139185054681,4402165.88729898,2.271609079715e-07,52.472163976,0.0149728289325115,7.15980816798333,0.4,72.3773360944667,0.4,0.0989233447144058,868.5280331336,0,-1,0,-1,NA,0,35967897.269351,6112124.42671891,350446561.890265,4205358742.68318,0.102634470360744,5023583.9320653,1.99061071442849e-07,0.597626642190588,781060.137595694,1736155.09249631,51865118.799506,622381425.594072,0.0150594495043002,Inf,0,-0.96530677132357,0.318672105901607,-0.804840187156416
"Online_Marketing","1_190_4","revenue","Online_Marketing",2023-08-01,2024-07-01,"12 months",0.4,6.45465378416667,1.4,22.5912882445833,3,0,0,2.2,35.5005958129167,194.96689112,629.665967712,14.9974531630769,48.4358436701539,0.30963542754017,193.639613525,620.377166524,16.1366344604167,51.6980972103333,0.312132077023355,16.1366344604167,51.6980972103333,0.312132077023355,620.377166524,80256326.0056891,265757166.108141,6515071.65021205,3189085993.29769,0.301991201896815,4973547.99741908,2.01063707542167e-07,52.472163976,0.0149728289325115,22.5912882445833,0.4,72.3773360944667,0.4,0.312132077023355,868.5280331336,0,-1,0,-1,NA,0,117002310.918734,4487363.08328328,350446561.890265,4205358742.68318,0.333866339814087,5179089.81781006,1.93084120024557e-07,0.457857800647887,925373.895481046,1005088.59445019,51865118.799506,622381425.594072,0.0178419314734098,Inf,0,-0.988469770028902,0.318672105901607,-0.804840187156416
"Sponsorship","1_190_4","revenue","Sponsorship",2023-08-01,2024-07-01,"12 months",0.4,12.1789256234,1.4,42.6262396819,3,0,0,2.2,66.9840909287,372.782038436,629.665967712,28.6755414181538,48.4358436701539,0.592031422296123,365.367768702,620.377166524,30.4473140585,51.6980972103333,0.588944578262239,30.4473140585,51.6980972103333,0.588944578262239,620.377166524,162987509.190523,265757166.108141,3034920.12642807,3189085993.29769,0.613294879597716,5353099.74723439,1.86807652989585e-07,52.472163976,0.0149728289325115,42.6262396819,0.4,72.3773360944667,0.4,0.588944578262239,868.5280331336,0,-1,0,-1,NA,0,197476353.70218,2606369.85684222,350446561.890265,4205358742.68318,0.563499189825169,4632741.59709736,2.15854905576117e-07,0.211604218525375,50158684.7664293,4342230.30507072,51865118.799506,622381425.594072,0.96709861902229,Inf,0,-0.692254424798916,0.318672105901607,-0.804840187156416
