,TV,Digital,Sponsorship,Content Marketing,Online marketing,Affiliates,SEM,Radio,Other
Camera,0.8143258094787598,0.15535181760787964,0.008232444524765015,0.007644334342330694,0.0005723822396248579,0.0,0.0,0.0075688050128519535,0.006304366979748011
CameraAccessory,0.5389955639839172,0.056498199701309204,0.0035240203142166138,0.28894150257110596,0.012308693490922451,0.0,0.0,0.02079922892153263,0.0789327472448349
EntertainmentSmall,0.41144269704818726,0.1507531851530075,0.318779319524765,0.04254769906401634,0.009072063490748405,0.0,0.0,0.05631778761744499,0.011087335646152496
GameCDDVD,0.3206706643104553,0.12105900049209595,0.0948985144495964,0.04964300990104675,0.3423721492290497,0.0,0.0,0.046284399926662445,0.025072267279028893
GamingHardware,0.4102932810783386,0.18244078755378723,0.017262669280171394,0.016659079119563103,0.28572824597358704,0.0,0.0,0.05923395976424217,0.02838198095560074
